features,lookback,arch,lr,hidden,dropout,scaler,horizon,epochs,batch,val_MAE,val_RMSE,val_MAPE,test_MAE,test_RMSE,test_MAPE
"['close', 'high', 'low', 'open', 'volume']",60,lstm,0.0005,128,0.2,minmax,1,100,64,4.795665740966797,6.298418106810103,0.9346470236778259,6.984128475189209,9.560716649731091,1.2002197094261646
"['close', 'high', 'low', 'open', 'volume']",40,lstm,0.001,128,0.2,minmax,1,100,64,4.852826118469238,6.489411459453614,0.9599922224879265,8.784226417541504,11.089523498920297,1.4804101549088955
"['close', 'high', 'low', 'open', 'volume']",60,lstm,0.001,128,0.2,minmax,1,100,64,4.98445987701416,6.5341994639188465,0.9706509299576283,7.388659954071045,9.989075224480594,1.2683724984526634
"['close', 'high', 'low', 'open', 'volume']",60,lstm,0.001,64,0.2,minmax,1,100,64,4.965001106262207,6.7275931424965645,0.9697080589830875,8.608201026916504,11.013852846702129,1.4568513259291649
"['close', 'high', 'low', 'open', 'volume']",40,lstm,0.0005,128,0.2,minmax,1,100,64,5.277816295623779,6.985921598897135,1.0467849671840668,6.907214641571045,9.85435858788947,1.1911599896848202
"['close', 'high', 'low', 'open', 'volume']",40,lstm,0.001,64,0.2,minmax,1,100,64,5.529121398925781,7.191517644099236,1.0906393639743328,16.31082534790039,19.006570583400805,2.6771020144224167
['close'],60,lstm,0.001,128,0.2,minmax,1,100,64,5.786214351654053,7.473073561841431,1.1245082132518291,7.634109973907471,11.050047336666848,1.3197802007198334
['close'],40,lstm,0.001,64,0.2,minmax,1,100,64,6.012016296386719,7.73132782066609,1.185639388859272,11.395928382873535,13.716397372661877,1.9056638702750206
['close'],40,lstm,0.001,128,0.2,minmax,1,100,64,5.828598976135254,7.9194346624954965,1.1584758758544922,7.723667621612549,11.942887134214487,1.34591618552804
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.0005,128,0.2,minmax,1,100,64,6.353840351104736,8.015665452048268,1.2288042344152927,18.867860794067383,21.558054059312003,3.0939072370529175
['close'],60,lstm,0.0005,128,0.2,minmax,1,100,64,6.381648063659668,8.174586705017665,1.2360751628875732,14.866442680358887,17.435932704262715,2.4715606123209
['close'],40,stacked,0.0005,128,0.2,minmax,1,100,64,6.372611999511719,8.216334695151719,1.2568412348628044,13.201004028320312,15.817130756436546,2.2023512050509453
['close'],60,lstm,0.001,64,0.2,minmax,1,100,64,6.137502670288086,8.362521312099151,1.1963807046413422,16.220184326171875,19.19875182227228,2.6876483112573624
['close'],60,stacked,0.0005,128,0.2,minmax,1,100,64,6.702158451080322,8.415589770425008,1.2962392531335354,13.477936744689941,15.95771016762572,2.247208170592785
['close'],40,lstm,0.0005,128,0.2,minmax,1,100,64,6.462917804718018,8.482241311326518,1.2948974035680294,8.323946952819824,12.813016257701275,1.4542452059686184
['close'],40,lstm,0.0005,64,0.2,minmax,1,100,64,6.550669193267822,8.543422413080153,1.3069414533674717,8.14401626586914,11.890922713092959,1.4067396521568298
['close'],40,stacked,0.0005,64,0.2,minmax,1,100,64,7.233590126037598,8.948130441109656,1.4265949837863445,17.591833114624023,20.198310343260307,2.909746393561363
['close'],40,stacked,0.001,128,0.2,minmax,1,100,64,8.183371543884277,9.779802989262569,1.6115952283143997,16.889856338500977,19.18749363802826,2.794608101248741
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.001,128,0.2,minmax,1,100,64,8.110320091247559,9.911240917927639,1.5601391904056072,25.530818939208984,28.252492068939134,4.171648621559143
['close'],60,lstm,0.0005,64,0.2,minmax,1,100,64,8.353452682495117,10.004692121245808,1.6185574233531952,20.983617782592773,24.030131181286624,3.443673253059387
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.0005,128,0.2,minmax,1,100,64,8.805825233459473,10.663897234296325,1.7190858721733093,26.58481788635254,29.455096709533457,4.351318255066872
['close'],60,stacked,0.001,64,0.2,minmax,1,100,64,9.124359130859375,11.235172927809053,1.7489677295088768,29.90949821472168,33.47464168205819,4.870994761586189
['close'],60,stacked,0.001,128,0.2,minmax,1,100,64,9.438370704650879,11.340008583671107,1.8163785338401794,23.532270431518555,26.081614412293625,3.858358785510063
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.001,128,0.2,minmax,1,100,64,10.36885929107666,12.268006461685017,2.0182812586426735,30.15859603881836,32.84401202619075,4.936391860246658
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.001,64,0.2,minmax,1,100,64,10.312763214111328,12.311328193167576,1.9794035702943802,33.23775100708008,36.4984515136002,5.4176755249500275
"['close', 'high', 'low', 'open', 'volume']",60,lstm,0.0005,64,0.2,minmax,1,100,64,11.004362106323242,13.070355695161737,2.1779658272862434,41.93543243408203,47.109672988278106,6.792047619819641
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.001,64,0.2,minmax,1,100,64,11.600915908813477,13.856221456330546,2.245165593922138,41.0654411315918,44.80056310027322,6.700646132230759
['close'],40,stacked,0.001,64,0.2,minmax,1,100,64,12.171865463256836,14.25055198269609,2.371455170214176,36.25507354736328,39.77898995691303,5.917602777481079
['close'],60,stacked,0.0005,64,0.2,minmax,1,100,64,12.443122863769531,14.61725274320688,2.3882174864411354,36.92168045043945,40.69719846488975,6.010459363460541
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.0005,64,0.2,minmax,1,100,64,14.257055282592773,16.408212308241986,2.7360478416085243,41.139915466308594,44.403917459411026,6.711955368518829
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.0005,64,0.2,minmax,1,100,64,13.916115760803223,16.676889768291627,2.6788607239723206,50.60898971557617,55.00509786388553,8.250180631875992
"['close', 'high', 'low', 'open', 'volume']",40,lstm,0.0005,64,0.2,minmax,1,100,64,14.913169860839844,17.883217796575806,2.942899242043495,59.06121063232422,64.30981226162147,9.615378826856613
